M, f
-23.192961718584378, 0.000002884565667399415
-23.031073537064042, 0.000005318616548146686
-22.90279642561174, 0.00001667489264102084
-22.73015424346184, 0.00003268595300664499
-22.590583504108235, 0.00008186364930394587
-22.449972055016286, 0.00011815655211642393
-22.2447595125367, 0.0002363594872653707
-22.12596442314487, 0.00035538777063227076
-21.96372933837842, 0.0005452968423052507
-21.817952885399873, 0.0009079225394500877
-21.671868073980324, 0.0012839324379095
-21.50944026518826, 0.00177887793844967
-21.3579977258565, 0.002620366887222453
-21.21719355273893, 0.0034150910403837483
-21.065327020550807, 0.004018832284661006
-20.913576122778053, 0.005027978300429412
-20.739931775694934, 0.005796870060730082
-20.577118518851623, 0.006548540105495814
-20.44695271194825, 0.007551077086285107
-20.273385454475374, 0.009068588280106829
-20.132195833306568, 0.009636666207623181
-19.969189852437637, 0.009829947908798117
-19.817246230639267, 0.011104990792165132
-19.66526406403577, 0.012291924498027173
-19.51324335262715, 0.013330801448229844
-19.361184096413407, 0.014165350692188796
-19.20920192980991, 0.015679384562777624
-19.057007766778234, 0.015512132823120523
-18.894001785909303, 0.01582325820157688
-18.74215452612374, 0.018811618567189114
-18.58978691146901, 0.016977541222159047
-18.448443111079705, 0.016626494924050973
-18.28574548865177, 0.019968596695886503
-18.133686232438023, 0.0212186923739439
-17.970256258712734, 0.017291181110347224
-17.818312636914364, 0.019534020810446317
-17.666214835895495, 0.02033749277765825
-17.503709937493177, 0.027050218604822512
-17.35165068127943, 0.028743645633441024
-17.22140778476581, 0.031818203262360394
-17.057669452599526, 0.022022126533018802
-16.894971830171592, 0.026448807468585245
-16.732081483718034, 0.028683121390224227
-16.59131585540559, 0.03815328169311105
-16.451128399170003, 0.06893137868834294
-16.2855784611629, 0.01827810733090074
-16.12476953418603, 0.05968676192237869
